id,category,wait_time,turnaround,duration
ec606f8a-1d4c-46e0-992f-e6d9733d7692,CPU,16669.129999999954,16687.729999999952,18.6
41de17a0-c1ea-48db-b4a7-be2ca4aa956d,CPU,20852.989999999954,20878.639999999956,25.65
0ec9d00e-cf43-4e7b-92dc-62e7dbbd6270,CPU,9938.849999999986,9949.149999999985,10.3
dc5c32da-8a5c-4c86-8694-417efc147d53,CPU,13634.729999999969,13648.959999999968,14.23
692b8601-ee9a-4c7b-9f90-7a52272e3c3b,CPU,21963.269999999953,21991.679999999953,28.41
e28fdc1d-db44-4f00-82d0-3123baf65dbf,CPU,16736.789999999954,16755.499999999953,18.71
c582d96f-adde-43df-9997-78fd00732759,CPU,19849.749999999956,19872.959999999955,23.21
be73aeae-0995-4135-8cd3-4fb56b8a3964,CPU,18083.019999999957,18103.079999999958,20.06
20639297-67ce-4b6f-b305-ea5b3b39a96f,CPU,19870.959999999955,19894.599999999955,23.64
d46eee4b-7eb4-4fbb-991a-cca142945333,CPU,10070.409999999982,10080.849999999982,10.44
73c73fa4-e9de-4c3b-9b0f-b45dca05ce70,CPU,12877.50999999997,12891.34999999997,13.84
b7fe0bcb-dc24-4702-8048-7d7dd4cc3aa3,CPU,12890.34999999997,12903.87999999997,13.53
4fe66bac-ba53-4612-9120-ff66880f2d5b,CPU,22129.86999999995,22159.23999999995,29.37
f9b3fbd5-96d3-4f1b-a245-9708cb7d7522,CPU,11102.509999999978,11114.489999999978,11.98
a75b8e1c-5531-494d-bca2-0c4c1527a1ad,CPU,11113.489999999978,11124.659999999978,11.17
37085085-ec2e-4f1b-aa9e-9e11c50b122d,CPU,22156.23999999995,22186.08999999995,29.85
1472f562-f153-4f4d-bf11-68eb0ce07e04,CPU,20951.269999999953,20976.649999999954,25.38
398ce1f9-7a3e-41d8-a38e-1a40222554c8,CPU,12982.47999999997,12995.519999999971,13.04
0943d6f2-8588-4d7e-95ab-6895e678417a,CPU,12103.169999999975,12116.039999999975,12.87
b1d66b8a-4378-4fb4-b925-ba3186a6ac8f,CPU,21751.11999999995,21778.549999999952,27.43
c737ce54-7fd1-4ea6-b2eb-435f4fb2d513,CPU,18829.549999999956,18850.779999999955,21.23
1f2aaf2f-28fd-4de0-8d58-73587ff65902,CPU,21439.069999999952,21465.709999999952,26.64
26c7b829-a6b8-4bab-b1f5-2f751022c369,CPU,21775.549999999952,21802.889999999952,27.34
6443dd7c-0d48-4e71-a705-27d88a520a39,CPU,10330.519999999984,10341.509999999984,10.99
b266e42c-9989-4420-a027-7ea69a1c64e0,CPU,22177.08999999995,22206.80999999995,29.72
