id,category,wait_time,turnaround,duration
7932f41d-3f54-4822-b13d-036830b6900e,CPU,0.0,18.6,18.6
c97d13ba-f3c2-4d2a-b5ac-994b9a9dc8c6,CPU,17.6,43.25,25.65
7fc5fd20-f978-403a-bebc-628d2d28a673,CPU,42.25,52.55,10.3
7ea0ef26-ae2b-470c-934e-2e93a816b9d8,CPU,51.55,65.78,14.23
d5157049-8f6c-47dc-a107-179c18e206e4,CPU,64.78,93.19,28.41
65f6d90b-46cd-4e31-b672-fc60019e3baa,CPU,92.19,110.9,18.71
d185bdf8-9855-4ab5-9b99-f6753f6a4525,CPU,109.9,133.11,23.21
1c76fef1-eeda-475f-a3bb-c44cd77a5457,CPU,132.11,152.17000000000002,20.06
d6a6a474-3140-4967-bfe2-e4313bc29297,CPU,151.17000000000002,174.81,23.64
bb13ad5c-c2c8-45f9-9124-3097612a9ea1,CPU,173.81,184.25,10.44
58e9991d-90c5-4e99-9054-34cd7d084187,CPU,183.25,197.09,13.84
e3f560ef-6af7-4f57-9482-9247302347ba,CPU,196.09,209.62,13.53
d87590b0-0d59-4d03-a6af-98924fff0813,CPU,208.62,237.99,29.37
ddc02e68-20d9-443d-995b-dbf2beee48b3,CPU,236.99,248.97000000000003,11.98
802a881f-a032-4570-90ea-663e8abb2398,CPU,247.97000000000003,259.14000000000004,11.17
96ac1bd3-bb90-474c-9ff5-1a0ebdf929ae,CPU,258.14000000000004,287.99000000000007,29.85
5f3e24a2-109f-488e-a13e-2512770c7792,CPU,286.99000000000007,312.37000000000006,25.38
b2523d26-7ee3-4caa-a5bc-2e27a4dd97c2,CPU,311.37000000000006,324.4100000000001,13.04
8f10a857-01d1-412d-a726-680dc7653b3a,CPU,323.4100000000001,336.2800000000001,12.87
8fb1d48e-7ab9-41b5-babf-3e3b6146ba08,CPU,335.2800000000001,362.7100000000001,27.43
139a4bb2-fc57-4fed-a13b-d30bbfd3547b,CPU,361.7100000000001,382.9400000000001,21.23
b3f09295-13ed-440a-bf96-ea72f4c2acbc,CPU,381.9400000000001,408.5800000000001,26.64
9b0e4864-364f-46a2-abf5-68da37974520,CPU,407.5800000000001,434.9200000000001,27.34
f9fcbb46-af39-476a-b9b1-495522c45bc5,CPU,433.9200000000001,444.9100000000001,10.99
1e047d41-d1ec-46c6-8666-6066436e9b20,CPU,443.9100000000001,473.6300000000001,29.72
5f60d97b-a7bd-40fe-8425-b5eea16af84d,CPU,472.6300000000001,498.05000000000007,25.42
58a90715-a7ca-42a2-b78f-4d8475b06c2a,CPU,497.05000000000007,508.6400000000001,11.59
43b693fa-8ca6-4209-ac71-9d0960d35c92,CPU,507.6400000000001,521.44,13.8
a8a61fe1-fe28-46ee-bbad-dfddc6c79009,CPU,520.44,536.0,15.56
dd8e3a87-e5da-4883-b2b4-e85bd2190f3a,CPU,535.0,564.18,29.18
1b97fb15-a7c6-4d0d-83ad-4bc669baebb5,CPU,563.18,591.17,27.99
1c6a945e-cd8c-4787-9138-6e35a06065b7,CPU,590.17,603.6999999999999,13.53
a038624d-eb43-4746-80ac-b2bde9f3bc45,CPU,602.6999999999999,628.27,25.57
7d4e5020-61eb-4a9e-8eb5-06d922d4d2a7,CPU,627.27,648.56,21.29
7aebca46-afad-42d4-b068-1ffa62cf6228,CPU,647.56,663.6899999999999,16.13
04f31266-5c98-4a07-b31d-23377a7fa83e,CPU,662.6899999999999,679.8499999999999,17.16
84059ec6-c418-4ef3-9af1-19b58e704ded,CPU,678.8499999999999,704.9099999999999,26.06
83016a65-4c63-40b0-91f0-9f22b32a7772,CPU,703.9099999999999,715.2099999999998,11.3
fbaf6cbc-8d65-4cbc-be49-2addce52d370,CPU,714.2099999999998,742.2799999999999,28.07
1396f1fb-aeac-4bbb-a10c-043a713239aa,CPU,741.2799999999999,768.6999999999998,27.42
3446458a-0579-4002-bdd6-fa979ab4fe50,CPU,767.6999999999998,793.5999999999998,25.9
2d4fbda2-34a5-49c3-a236-d7455675bae4,CPU,792.5999999999998,818.2199999999998,25.62
c914c77f-1dd9-46d8-888c-e4df54d5af12,CPU,817.2199999999998,833.8899999999998,16.67
ff6d0dd6-e8de-43ba-b10d-6b7f03d30609,CPU,832.8899999999998,851.4999999999998,18.61
773744a5-bb6e-40c3-8c5f-bf9a23f119b6,CPU,850.4999999999998,873.9099999999997,23.41
e393d085-a418-4f17-b1fa-84520bd549a4,CPU,872.9099999999997,892.8999999999997,19.99
25358dd0-d0d4-4b2e-9c8d-73ade1a0d185,CPU,891.8999999999997,902.3799999999998,10.48
46f4bda7-a0cf-4fdd-980c-75d5ea597626,CPU,901.3799999999998,917.8599999999998,16.48
d05e06ec-84b7-427b-a6fe-79730ea1981c,CPU,916.8599999999998,931.5999999999998,14.74
68bef63a-21ab-45ac-b84c-2cde715c1e76,CPU,930.5999999999998,940.6599999999997,10.06
